"precio";"moneda";"direccion";"barrio";"metros_totales";"area_privada";"dormitorios";"baños";"garage";"gastos_comunes";"admite_mascotas";"disposicion";"balcon";"terraza";"ascensor";"amueblado";"aire_acondicionado";"calefaccion";"numero_piso";"latitud_Y";"longitud_X";"url";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
29000;"UYU($)";"Punta Carretas, Punta Carretas, Montevideo";"Punta Carretas";50;50;1;1;"No";6800;"No especificado";"Si";"No";"No";"Si";"No";"No";"Sí";1;-34.9214382;-56.1508864;"https://apartamento.mercadolibre.com.uy/MLU-695721843-apartamento-en-alquiler-1-dormitorio-1-bano-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2924.59688427923;2944.75107859482;4791.8550343021;7327.01574528938;10162.7487662076;3191.85402483924;1005.23921471226;3540.19456323604
32500;"UYU($)";"Cordón, Cordón, Montevideo";"Cordón";45;45;1;1;"Si";3900;"Sí";"No";"Si";"Sí";"Si";"No";"No";"Sí";NA;-34.9040788;-56.1776899;"https://apartamento.mercadolibre.com.uy/MLU-1393879732-apartamento-en-alquiler-1-dormitorio-1-bano-terraza-garaje-cordon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=true&sid=search";152.951197697859;1231.73272002823;1762.61335723598;8156.71755468291;7114.84221283817;1523.97276743994;1240.33238100457;3858.75540675539
21000;"UYU($)";"Avenida 8 De Octubre 3300, La Blanqueada, Montevideo";"Unión";29;26;0;1;"No";3000;"Sí";"No";"No";"Sí";"Sí";"No";"No";"No";10;-34.8799215;-56.1482331;"https://apartamento.mercadolibre.com.uy/MLU-1422559894-alquiler-apartamento-monoambiente-la-blanqueada-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=24&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2448.01489561914;40.3887509067354;3736.96300574129;4744.76583795642;7612.86601649541;899.9075891542;1665.6215873372;65.0571922506725
42500;"UYU($)";"Obligado 860, Montevideo, Punta Carretas, Montevideo";"Punta Carretas";58;50;1;1;"Si";5800;"No";"Si";"Si";"No";"Sí";"Sí";"Sí";"Sí";12;-34.9148355;-56.1597929;"https://apartamento.mercadolibre.com.uy/MLU-1426346018-alquiler-apartamento-1-dormitorio-amueblado-con-garaje-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=25&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";1927.44560312392;1948.51673071801;3701.12894675725;7410.84154503236;9075.11435068112;2237.92866880009;260.692401447574;3633.84123311039
25490;"UYU($)";"Guayabos 1900, Cordón, Montevideo";"Cordón";49;45;1;1;"No";3000;"No";"Si";"Si";"No";"Sí";"No";"No";"No";1;-34.9025779;-56.1748811;"https://apartamento.mercadolibre.com.uy/MLU-1442472906-alquiler-apartamento-de-1-dormitorio-en-cordon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=26&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";89.4723149394412;925.863654799125;1770.25747099046;7853.55014599886;7145.84641099617;1221.53093695817;969.946262653865;3562.42226559404
1000;"USD(US$)";"Punta Carretas, Punta Carretas, Montevideo";"Punta Carretas";65;65;1;1;"No";7000;"No";"Si";"Si";"Sí";"No";"Sí";"Sí";"Sí";1;-34.918188;-56.151703;"https://apartamento.mercadolibre.com.uy/MLU-1405223346-alquiler-apartamento-amueblado-en-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=27&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2568.42891663086;2593.58976494424;4484.25242247998;7115.87617742211;9846.39758544105;2833.15172046371;963.906473434908;3358.27286144388
30500;"UYU($)";"Vilardebó 1624, Montevideo, Reducto, Montevideo";"Reducto";78;78;3;1;"No";1000;"Sí";"No";"No";"No";"No";"No";"No";"No";1;-34.8771583;-56.1837781;"https://apartamento.mercadolibre.com.uy/MLU-1407610108-mira-que-precio-impecable-3-dormitorios-grandes-espacios-luminoso-con-azotea-con-parrillero-bajos-gastos-comunes-todos-los-servicios-excelente-locomocion-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=28&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2786.4706728691;2541.93991382017;1141.67528302304;7937.46850948863;4618.27295867034;2585.81858867902;682.689049369842;2004.35963799805
31000;"UYU($)";"18 De Julio 2042, Cordón, Montevideo";"Cordón";60;60;2;1;"No";7400;"No";"Si";"No";"No";"No";"No";"Sí";"Sí";1;-34.900218;-56.17154;"https://apartamento.mercadolibre.com.uy/MLU-696283651-cordon-alquiler-muy-buen-apartamento-2-dormitorios-3er-piso-al-frente-muy-luminoso-finas-terminaciones-pisos-de-parquet-cocina-definida-terraza-lavadero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";3.7221569763621;531.064442438108;1806.80513623605;7466.69739497335;7152.95275901814;819.787345557975;642.294498838603;3163.21473738103
24500;"UYU($)";"Av. Luis Alberto De Herrera 1379, Montevideo, Pocitos Nuevo, Montevideo";"Pocitos";40;40;1;1;"No";3800;"Sí";"No";"No";"No";"Sí";"No";"No";"Sí";4;-34.9022198;-56.1387758;"https://apartamento.mercadolibre.com.uy/MLU-692872901-alquiler-apartamento-de-un-dormitorio-en-pocitos-frente-a-mvd-shopping-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2414.61606223668;2385.20963880603;4617.11206842316;5040.87714065605;9581.2928160542;1638.80955310953;2300.17984540828;1293.97680688758
27500;"UYU($)";"Valencia 1833, Malvin, Montevideo";"Malvín";51;51;1;1;"Si";5180;"Sí";"Si";"No";"Sí";"Sí";"No";"Sí";"No";21;-34.8854159;-56.1040907;"https://apartamento.mercadolibre.com.uy/MLU-1445955024-alquiler-apartamento-un-dormitorio-con-terraza-y-garaje-estrellas-de-malvin-305-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=31&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";5689.83920253603;3242.21425177995;7610.57043732932;1571.91009782341;11594.5521093386;37.8020586474233;5626.38032765469;2291.82667401005
